3;                   # Web Application     
4                    # m-Health            
1                    # Yes                 
1;2;3;               # Biometric-based authentication ; Channel-based authentication ; Factors-based authentication
1                    # Yes                 
3                    # Local Storage (Centralized Database)
                     #                     
2;3;                 # Confidential Data ; Critical Data
1                    # Yes                 
1                    # The users will register themselves
4;3;                 # Java ; HTML5        
1                    # Yes                 
1                    # Yes                 
1                    # Yes                 
1                    # Yes                 
1                    # Yes                 
4                    # Public Cloud        
1                    # Yes                 
3                    # Basic Authentication (user/pass)
1;2;3;5;6;7;9;       # 3G ; 4G/LTE ; 5G ; Bluetooth  ; Wi-Fi  ; GPS  ; NFC
1                    # Yes                 
